content_type,ID,Category,PairNo,Role1,Text1,Role2,Text2,,,,,,,,,,
faq,fuyo,,,"本市職員であった妻が退職したため、扶養にいれます。
資格喪失証明書は提出が必要でしょうか",,"辞令のコピーで職番がわかる場合や、扶養事実届出書で共済の番号等がわかる場合は提出がなくても、
確認をすすめることはできます。",,本市職員・退職・資格喪失証明書・辞令・扶養事実届出書,,,,,,,,,
faq,fuyo,,,妻の連れ後を扶養に入れようと思っています。扶養手当・共済・税控除すべて対象にできますか。まだ養子縁組をしていません。,,"扶養手当は養子縁組が必要です。
共済は養子縁組は要件ではありませんが、関係所管に連携して確認を進めます。
税控除は養子縁組をしていなくてもよいです。",,連れ子・養子縁組なし・扶養手当・共済・税控除・要件,,,,,,,,,
faq,fuyo,,,"現在、私が扶養している子を妻の扶養に付け替えようと思っています。妻は民間に勤めています。
たとえば、１月７日に妻側で扶養にいれるとなると、私側の事由日はどうなりますか。",,増減の事由日を合わせていただきます。減申請の事由日を「1月7日」として申請してください。,,扶養者変更・民間・事由日・減申請・付け替え,,,,,,,,,
faq,fuyo,,,"法人の役員を辞めたことにより扶養にいれる申請をします。
役員を辞めたことの証明は何を提出すればよいでしょうか",,"法人役員の解任日の記載がある、会社の登記簿や　会社自体を解散した場合は
「閉鎖事項全部証明書」等の解散日がわかる書類",,法人役員・辞任・証明書類・登記簿・閉鎖事項全部証明書,,,,,,,,,
faq,fuyo,,,離婚に伴い子供の扶養者変更の増変更をします。扶養状況申立書と扶養事実届出書の同意者欄と協議者欄に元夫の証明者必要ですか。,,"離婚に伴う扶養者変更の場合は、同意者・協議者ともに元配偶者の方の記載は不要です。
",,離婚・扶養者変更・扶養状況申立書・同意者欄・協議者欄・不要,,,,,,,,,
faq,fuyo,,,離婚に伴い扶養者変更の増申請をします。配偶者が扶養手当を受給していない証明書類の提出は必要ですか。,,元配偶者の方が扶養手当を受け取っていない証明書類の提出は必要です。,,離婚・扶養手当不受給証明・必要,,,,,,,,,
faq,fuyo,,,課税証明書が必要です。いつのものが必要でしょうか,,"取得できる直近の課税証明書でよいです。
「届出年月日」が「～R〇年6月」
　　　　　　　　・・・「前年度分（中身としては前々年分）」／「当年度分（中身としては前年分）」のどちらでも可",,課税証明書・年度・直近・届出年月日,,,,,,,,,
faq,fuyo,,,妻が公務員を退職します。退職手当とは、退職金のことですか,,"退職手当とは、退職金とは別の手当です。公務員を退職される際に、退職金の受給状況により支給される場合があるようです。詳しくは配偶者のかたの職場に確認ください。
＊手当が支給されるかたには、「退職票」か「退職手当支給資格証」が発行されるようです。
添付書類として提出いただきます。",,退職手当・退職金・相違・退職票・退職手当支給資格証,,,,,,,,,
faq,fuyo,,,妻が病気を原因で退職しました。傷病手当はまだ受給していませんが、受給する予定です。,,"扶養事実届出書に傷病手当を受給する可能性があることを記載して、日額を記載ください。
傷病手当受給決定通知書を提出ください。",,傷病手当・退職・受給予定・扶養事実届出書・支給決定通知書,,,,,,,,,
faq,fuyo,,,事業収入があります。始めたばかりで限度額を超えるような収入はないと思います。,,"原則個人事業主の方は共済扶養の対象外です。ただし、確定申告書等を確認して認められることもあります。
",,事業収入・個人事業主・共済・限度額・確定申告書,,,,,,,,,
faq,fuyo,,,"契約社員です。今回は1か月半の派遣期間です。
この給与は向こう一年の収入に含めますか",,"＜増申請の場合＞
収入に含めます

＜減申請の場合＞
収入に含めません",,契約社員・派遣・向こう一年収入・含める・含めない・増申請・減申請,,,,,,,,,
faq,fuyo,,,"結婚と同居した日に開きがあります。
配偶者を扶養にいれたいです。
事由日はいつになりますか。",,婚姻日と同居日に開きがある場合は、いずれか遅い日にちを事由日として申請ください。,,結婚・同居・事由日・婚姻日・同居日・遅い方,,,,,,,,,
faq,fuyo,,,"離婚をしています。妻を扶養にいれていました。
離婚を前提に先に別居をしていました。
妻の扶養を外しますが、いつが事由日となりますか。",,"配偶者の方の扶養減申請は、別居をもって減となりますので、別居日を事由日としてください。
別途、離婚の申請もお願いします",,離婚・別居・扶養減・事由日・別居日,,,,,,,,,
faq,fuyo,,,"65歳の妻が退職したため、扶養に入れます。雇用保険は加入していました。
「高年齢求職者給付金」を受給しますが、向こう一年の収入推計額に含めますか。",,高年齢求職者給付金は、一時収入扱いとなりますので、向こう一年(恒常的な)の収入には含めません,,65歳・高年齢求職者給付金・向こう一年収入・一時収入・含めない,,,,,,,,,
faq,fuyo,,,"退職証明書は発行されてていないです。
離職票はあります。代替書類になりますか。",,離職票や健康保険資格喪失証明書で「退職日」を確認できれば、退職証明として確認します。,,退職証明書・離職票・代替書類・健康保険資格喪失証明書,,,,,,,,,
faq,fuyo,,,"退職に伴い妻を扶養します。医師国保に入っていましたが、退職日と資格喪失日に2週間くらい開きがあります。
事由日はどうしたらよいでしょうか",,"資格喪失日を事由日として申請ください。
書類を確認し、連絡や差戻をさせていただく場合がございます。

(内部：①退職日の翌日は「1日付」だが資格喪失日は「1日付ではない」場合
　⇒扶養手当は事由発生年月日が「1日付」だと当月改定になるため、共済と申請を分ける必要あり。
「資格喪失日」に修正すると、修正後の扶養手当の適用年月日が申請内容と変わってしまうため

②退職日の翌日が「1日付」ではない場合（資格喪失日も「1日付ではない」）
　⇒扶養手当の適用年月日は翌月改定になるため、「資格喪失日」と同月内であれば「資格喪失日」を事由発生年月日としてよい。)",,医師国保・退職日・資格喪失日・事由日・2週間,,,,,,,,,
faq,fuyo,,,共済ガイドで個人事業主は扶養対象とできないと記載がありますが、扶養手当も対象外ですか,,扶養手当は個人事業主であっても、要件を満たしている場合は扶養対象とできる場合もあります。,,個人事業主・共済・扶養手当・要件・対象外,,,,,,,,,
faq,fuyo,,,(内部)減申請にて税控除減の申請があったが、限度額以下の収入が入力されていた,,"税控除の減は限度額を超えているかどうかに関わらず、減申請の意思(入力）をもって認定する。
差戻や確認連絡をすることはない。",,内部・税控除減・限度額以下・認定・差戻なし,,,,,,,,,
faq,fuyo,,,保険の満期で解約返戻金が入りました。１回限りの支給ですが、向こう一年の収入に含まれますか。,,一回だけの支給である収入は、恒常的な収入とはみなされないため、向こう一年の収入推計額には含まれません。年間収入には含まれます。控除額も確認し必要に応じて申請ください。,,保険満期・解約返戻金・一時収入・向こう一年収入・年間収入・含まない,,,,,,,,,
faq,fuyo,,,"母を扶養手当の対象者として、増申請をしようと思っています。母は無収入です。
母とは同居です。家族で住んでいるため、私の兄も同居しています。添付書類について教えて下さい。",,".住民票
・扶養状況申立書
・被扶養者収入状況申告書
・戸籍謄本(除票者も含む）
",,同居母・扶養手当・無収入・添付書類・住民票・戸籍謄本・扶養状況申立書,,,,,,,,,
faq,fuyo,,,"母を共済の対象者として、増申請をしようと思っています。
母は無収入です。
母とは同居です。家族で住んでいるため、私の兄も同居しています。添付書類について教えて下さい。",,"・住民票
・戸籍謄本
・扶養事実届出書
・対象者の課税証明書
・同居親族の課税証明書
・健康保険資格喪失証明書等
・個人情報を証明する書類",,同居母・共済・無収入・添付書類・住民票・戸籍謄本・課税証明書・健康保険資格喪失証明書,,,,,,,,,
faq,fuyo,,,シフト制で働いているため、雇用契約書通りの勤務実態ではないです。雇用契約書上では限度額を超えてしまいますが、扶養の限度額を超えないことを約束し契約しています。どのように証明すれば良いでしょうか。,,"給与支払等証明書を就業先に記載いただき提出ください。シフト制で詳しく記載ができないということでしたら、
追記事項欄に「シフト制であり、日の勤務時間や月の勤務日数を記載できないが限度額以下で働いている」というような内容を記載ください。",,シフト制・雇用契約書・限度額・給与支払等証明書・追記,,,,,,,,,
faq,fuyo,,,"雇用保険を受給していましたが、受給期間を残し受給を放棄しました。扶養に入れたいと思います。
この場合は届出事由は何を選択しますか。
",,"届出事由は「雇用保険受給終了」を選択ください。
雇用h保険受給資格者証に「不該当」の印を押していただき提出ください。",,雇用保険・受給放棄・届出事由・雇用保険受給終了・不該当印,,,,,,,,,
faq,fuyo,,,"傷病手当金を受給していましたが、受給を終了しました。
扶養にいれたいです。傷病手当の受給終了を証明する書類の提出は必要でしょうか。",,「傷病手当支給決定通知書」のコピーを提出ください。,,傷病手当金・受給終了・扶養増申請・支給決定通知書,,,,,,,,,
faq,fuyo,,,"67歳の母を扶養対象としたいです。
年金の受給をしているかどうかということで差戻をされています。
まだ年金は受給していないです。受給していない証明書とはどのようなものでしょうか。",,年金機構より「繰り下げのお知らせ」が届いているかと思います。コピーの提出をお願いします。,,年金未受給・67歳・差戻し・繰り下げのお知らせ,,,,,,,,,
faq,fuyo,,,"本市職員の配偶者が子供を扶養しています。
この度私に扶養を付け替えようと思い、申請をしています。
23歳の子供ですが、アルバイト収入がありますが限度額以下の収入です。差戻にある就学でも就労不可の状態でもありません。この場合は扶養対象として継続できないのでしょうか。",,"扶養手当は23歳3月31日をもって年齢到達により対象外です。
共済については、18歳以上の方は就労可能年齢ですので、それ以前より継続して扶養対象としていない場合は、就労ができない状況である確認が必要になります。配偶者の方の扶養対象として継続できますが、本市職員様同士でも扶養変更があった場合は、対象外となる場合があります。",,扶養付け替え・23歳・アルバイト・就労可能年齢・18歳以上・診断書,,,,,,,,,
faq,fuyo,,,"子供が2月末に退職しました。
4月からは大学院に通う予定ですので、扶養にいれます。
この場合の事由日はいつになりますか。",,事由日は「資格喪失日」と「入学日」のいずれか遅い日となります。,,退職・大学院進学・事由日・資格喪失日・入学日・遅い方,,,,,,,,,
faq,fuyo,,,"子供が海外留学をします。
扶養は継続しますが、住民票は異動していません。
別居先住所を証明する書類は何を提出すればよいでしょうか",,"「入寮証明書」や「賃貸借契約書」のコピーを提出ください。
外国語文である場合は、訳者名と作成日を記載した、訳文も提出ください。",,海外留学・別居・住民票異動なし・入寮証明書・賃貸借契約書・訳文,,,,,,,,,
faq,fuyo,,,進学により別居をしていますが、扶養対象としている子供がいます。別居先から違う別居先へと転居しました。申請は必要でしょうか。,,"別居先住所の変更(転居)の申請は不要です。

内部）IPKでは別居先住所の登録はしません。同居か別居かの登録だけです。
そのため別居先住所が変わっても登録上変化はありません。",,別居先転居・申請不要・別居状態継続・住所変更,,,,,,,,,
faq,fuyo,,,"事実婚の妻がいます。扶養対象としたいのですが、扶養手当・共済・税控除を申請できますか。
配偶者の有無は「有」でしょうか。",,"扶養手当・共済ともに住民票の続柄が「妻（未届）」もしくは「夫（未届）」となっていて要件を満たしているのであれば認定可能です。税控除は民法上の婚姻関係ではないため認定できかねます。
配偶者の有無は「無」を選択ください。",,事実婚・扶養手当・共済・税控除不可・配偶者有無・無・住民票続柄,,,,,,,,,
faq,fuyo,,,同居している父母がいます。扶養手当・共済・税控除の扶養対象としたいです。同居はしていますが住民票は別々です。世帯分離をしています。,,"実態として同居していても、住民票上別世帯ですと、扶養手当・共済はシステムでの申請で確認は出来かねます。別居扶養としてご所属の労務主管課へご相談ください。
税控除は住民票別世帯でも要件を満たしているならば確認いたします。",,世帯分離・同居父母・扶養手当・共済・所属対応・税控除,,,,,,,,,
faq,fuyo,,,"子供が生まれたため、出生の増申請をします。
配偶者は育休に入った状態で出産したため、扶養手当と税控除は扶養対象としています。提出書類を教えてください。",,配偶者の方が、扶養手当の被扶養者ということですので、住民票と扶養時事実届出書の提出をお願いします。,,出生・配偶者育休中・扶養手当・税控除対象・住民票・扶養事実届出書,,,,,,,,,
faq,fuyo,,,"就職して扶養対象外となった子供が退職しました。
今後は資格取得のため、塾に通います。扶養対象とできますか。",,"予備校等に通っておられて、在籍証明書やカリキュラム等を提出いただるのであれば確認いたします。
私塾でカリキュラム等の提出ができない場合は認定できかねる場合があります。",,就職後退職・塾・資格取得・在籍証明書・カリキュラム・私塾,,,,,,,,,
faq,fuyo,,,"離婚に伴って子供の扶養変更をします。元配偶者の扶養から私に変更したいのですが、元配偶者とは連絡がとれません。
書類の同意者欄と協議者欄は記載が必須でしょうか。",,離婚に伴う扶養者変更の場合、同意者欄、協議者欄の記載は不要です。,,離婚・扶養者変更・同意者欄・協議者欄・不要・連絡不可,,,,,,,,,
faq,fuyo,,,"義理父母を扶養手当と共済の扶養対象としたいです。
実態も住民票上も同居です",,"扶養手当は、養子縁組をしていることが要件です。
共済は、他に扶養しうる人がいない場合は認定を進めます。",,義理父母・扶養手当・養子縁組要件・共済・同居,,,,,,,,,
faq,fuyo,,,妻が産休に入ります。収入が減るので扶養手当の対象としたいです。健康保険は勤めている会社で継続します。,,"産休中から扶養対象とできる要件は、国保加入者で、無給・無手当であること。
なお、出産育児一時金は、一時金として扱われるため、収入には含めません。
国民健康保険加入ではないので、産休からの認定はできかねます。育休にはいられてから限度額を超えないようでしたら申請ください。",,産休・扶養手当・国保要件・育休から申請・140万未満,,,,,,,,,
faq,fuyo,,,子供の関係上、一時別居状態になります。,,,,子ども・一時別居,,,,,,,,,
faq,fuyo,,,,,,,,,,,,,,,,
faq,jido,,,"離婚をしたため扶養者の変更の認定請求しています。
課税証明書は必要ですか。",,"離婚をされている場合、提出は不要です。
詳しくはご所属の労務主管課へお問い合わせください。
",,離婚・扶養者変更・児童手当・課税証明書・提出不要,,,,,,,,,
faq,jido,,,"離婚調停(協議)中です。
課税証明書は必要ですか。",,"離婚調停中である場合は、課税証明書の提出は不要です。
別途、離婚調停中であることがわかる書類の提出をお願いします。
例)
*調停期日呼出し状の写し、家庭裁判所における事件係属証明書
離婚協議申し入れに係る内容証明郵便の謄本、調停不成立証明書
",,離婚調停中・課税証明書・提出不要・調停期日呼出し状,,,,,,,,,
faq,jido,,,配偶者が海外へ住民票上も転出しているのですが、課税証明書は必要ですか。,,"「海外転出届」を提出し、住民票を除票されている場合は、
申請者の課税証明書も提出不要です。
配偶者が海外転出したことが記載されている住民票(除票)の提出が必要です。",,配偶者・海外転出・住民票除票・課税証明書・提出不要,,,,,,,,,
faq,jido,,,"配偶者は1月1日は海外にいました。住民票からも削除していました。
現在は帰国して住民票上も同居となっています。
配偶者の課税証明書が取得できないのですが。",,"取得された住民票で、配偶者の方が海外から転入されている記載があれば
海外居住であったとして、確認いたします。配偶者の課税証明書は不要です。
書類を確認し、追加書類や不備等があれば差戻や連絡をさせていただきます。",,配偶者・1月1日海外居住・住民票削除・帰国・課税証明書不要,,,,,,,,,
faq,jido,,,"配偶者はいません。ひとり親にあたります。
課税証明書の提出は必要ですか。",,提出は不要です。,,ひとり親・配偶者なし・課税証明書・提出不要,,,,,,,,,
faq,jido,,,今年、転居をしています。課税証明書は今住んでいる自治体で発行すればよいですか。,,1月1日時点で住民票上の住所があった自治体で取得ください。,,転居・課税証明書・1月1日時点・自治体,,,,,,,,,
faq,jido,,,"配偶者は、自分の扶養に入れています。
配偶者の課税証明書は必要ないですよね。",,"ご自身の課税証明書の配偶者控除の欄に、控除対象配偶者となっている場合は提出不要です。
詳しくはご所属の労務主管課へお問い合わせください。

＜内部＞
配偶者控除欄の記載については自治体によって異なります。
「有無」「＊＊＊」「-」「0」「38万円」等々、異なるようです。",,配偶者扶養・課税証明書・配偶者控除・控除対象配偶者・提出不要,,,,,,,,,
faq,jido,,,住民票は個人番号入りのものを提出しますか。,,"個人番号入りでなくてよいです。
世帯全員分の記載はあり、続柄が省略されていない3カ月以内に取得された公印入りのものを提出ください。",,住民票・個人番号・不要・世帯全員・続柄・3か月以内・公印,,,,,,,,,
faq,jido,,,離婚調停をしています。添付書類一覧を確認しましたが、調停中である書類の提出ができません。,,"確認担当に申し伝えます。
追加書類等については、センターもしくは関係所管から連絡いたします。

＜内部＞
離婚等はセンシティブな内容なこともあり、センターからの連絡を控えるとのこと。",,離婚調停・添付書類・提出困難・センター連携,,,,,,,,,
faq,jido,,,課税証明書の代わりに、市民税・県民税特別徴収額通知書や源泉徴収票の提出で確認してもらえますか。,,"市民税・県民税の通知書や、源泉徴収票では確認できかねます。
課税証明書を提出ください。",,市民税通知書・源泉徴収票・課税証明書代替不可,,,,,,,,,
faq,jido,,,"妻は育休のために、税扶養の対象としています。
配偶者控除対象者なので、妻の課税証明書の提出は不要でよいですか。",,"現在、配偶者の方を税扶養対象としていらっしゃっても、課税証明は前年の所得で照会をしているため、税扶養にいれた年度により提出が必要な場合があります。
申請者の課税証明書で、控除対象配偶者として確認できた場合は提出不要です。
詳しくは、ご所属の労務主管課へご相談ください。",,育休・税扶養・配偶者控除・課税証明書・提出判断,,,,,,,,,
faq,jido,,,"横浜市在住で、課税証明書を取得したのですが、
「市民税・県民税・森林環境税課税(非課税)証明書」というものしか発行できないようです。
課税証明書という名称のものがあるのでしょうか。",,"横浜市では、課税証明書の正式名称が
「市民税・県民税・森林環境税課税(非課税)証明書」となります。

＜内部＞
課税証明書の名称は各自治体で異なるようです。",,横浜市・課税証明書・正式名称・市民税・県民税・森林環境税,,,,,,,,,
faq,jido,,,区役所で課税証明書は発行できないと言われました。4月あたりに税務署で所得の更生をしました。,,所得の更生をされたため、今現在は課税証明書は発行できないが、いずれ発行が可能ということでしたが、発行され次第提出ください。,,課税証明書発行不可・所得更生・税務署・後日提出,,,,,,,,,
faq,jido,,,区役所で課税証明書を取得しようとしましたが、取得したい年度の課税証明書は発行できないと言われました。引っ越し等はしていないです。,,取得対象年度の1月1日時点で、その自治体にお住まいであるが発行ができないということでしたら、発行できないことをご所属の労務主管課へご相談ください。,,課税証明書発行不可・取得年度・自治体・労務主管課,,,,,,,,,
faq,jido,,,課税証明書の所得の内訳は必要ですか。,,所得の内訳は必要です。所得の内訳が表示された課税証明書を提出ください。,,課税証明書・所得内訳・必要,,,,,,,,,
faq,jido,,,"大学生の子がいます。申請が必要であったと思うのですが、失念していました。
額改定で申告していますが、届出事由は制度改正でしょうか、大学生年代の増でしょうか。",,1月以降4月までを想定　ロンさんに確認予定,,大学生・額改定・届出事由・制度改正・大学生年代の増,,,,,,,,,
faq,jukyo,,,"借家借間で住居手当を受給しています。 
40歳になった場合、住居手当が支給対象外となるのは誕生日まででしょうか。 
年度内は受給できるのでしょうか。 
",,0,,住居手当・40歳・支給対象外・誕生日・年度,,,,,,,,,
faq,jukyo,,,現在妻が勤務先（民間）で住居手当を受給していますが、自分からも住居手当を受給することはできるのでしょうか。 ,,"配偶者が民間で勤務されている場合、その方の受給状況は関係ありません。以下の支給要件のいずれかを満たしていること場合に支給されます。 
・申請者が賃貸借契約者の名義人
・契約者が申請者の扶養手当の扶養親族である
・契約者ではないが実質的に家賃を全額支払っている",,住居手当・配偶者民間・二重受給・支給要件・名義人・実質家賃,,,,,,,,,
faq,jukyo,,,賃貸契約の名義人は妻ですが、家賃は自分が全額負担し妻に渡しています。住居手当を受給することはできるのでしょうか。 ,,"申請者が貸主に対して、実際に家賃を全額直接負担していることが証明できる場合、「実質的に家賃を全額支払っている」として支給対象となります。

証明書類として、以下のいずれかの書類を連続した3か月分提出してください。
(1)職員の口座から家賃を全額引き落としされている場合：
　・口座振替依頼書の写し
　・引落口座の写し：
　　-金融機関、口座番号、口座名義人が記載されているページ
　　-家賃が全額引き落とされていることが確認できるページ（連続3か月分）
(2)職員が振込により支払いしている場合：
　　・振込書等の写し（連続3か月分）
(3)職員が現金で支払いしている場合:
　　・職員名の領収書の写し
　　　（連続3か月分、受取人の氏名が記載されているもの）
(4)職員のクレジットカードで支払いしている場合：
　　・家賃をクレジットカード払いで申し込んだことがわかる書類
　　・クレジットカードの引落口座が申請者本人名義であることがわかる書類
　　・家賃がクレジットカードで支払われていることがわかる書類（連続3か月分）
※ インターネットバンキングの場合は、上記が確認できるWEBページを印刷して提出
※ 事由が発生した時点で速やかに庶務事務システムにて届出を行って下さい。後日、3か月分の書類がそろい次第、センターへ送付してください。(※後日提出する場は、送付票にその旨メモをして下さい。)申請日及び書類の内容に応じて認定されます。",,住居手当・名義人妻・家賃全額負担・実質的・支払証明・3か月分,,,,,,,,,
faq,jukyo,,,"転居前も住居手当を受給しています。
転居後も「借家・借間/実質的に家賃を全額負担している」として申請をしていますが、申請したことよりに支給は一度止まらないのでしょうか。",,"支給の内訳や詳細についてはセンターではご案内ができかねます。
恐れ入りますが、ご所属の労務主管課へお問合せください。

＜参考＞
転居後の申請が完了し人給へデータ転送されるまでは転居前の状況で支給され続けます。ただし、転居後の適用月に非支給期間が発生した場合は戻入が発生することもあり得ます。",,転居・住居手当・実質家賃・支給停止・問い合わせ先,,,,,,,,,
faq,jukyo,,,"結婚しました。住居届の申請は必要ですか？
転居してないし、まだ同居していません。",,"婚姻した事実があるので申請が必要になります。
届出事由：配偶者・同居親族等の変更/結婚
「１ 届出年月日及び内容」の入力および
「２．家族情報」欄に、配偶者の氏名を入力し、同居の有無の「無」にチェックをし申請ください。 （同居している場合は「有」にチェック）
配偶者・同居親族等の変更のみの申請であれば添付書類は不要です。",,結婚・住居届・申請必要・転居なし・配偶者同居なし・家族情報,,,,,,,,,
faq,jukyo,,,"住居表示が〇から変更になります。
入力画面にて郵便番号を入力しても住所が出てきません。事前にシステムから申請できないのでしょうか。",,"住居表示の申請は、該当住所がシステムに反映された後でないと申請できません。状況をご確認いただきシステムで反映されましたら申請をください。
システムに反映されるまでおよそ1か月から2カ月程度、時間がかかることがございます。",,住居表示変更・郵便番号・システム反映・申請タイミング,,,,,,,,,
faq,jukyo,,,"マンション名が変更になりましたが、契約書は変更されません。
申請は必要になりますか。
管理会社からの通知はあります。 ",,"事由日：マンション名変更日 
届出事由：その他/マンション名の変更
不動産業者(管理会社)などからマンション名の変更についての通知をお送りください。

※マンション名変更通知を破棄していたり、発行自体されなかった場合は申出書を作成してください。

申出書（フリー形式）
・マンション名変更通知を提出できない理由
・マンション名変更日
・変更後の住所およびマンション名
・職員押印",,マンション名変更・申請必要・届出事由・通知書・申出書,,,,,,,,,
faq,jukyo,,,新築の家を購入しローンの関係で引き渡し前ですが、住民票を異動しています。実際にはまだ引越しをしていませんが申請は必要ですか。,,"住民票を異動した場合は、まだ引越ししていなくても、住居届の申請が必要です。
添付書類として住民票（申請者記載、公印、３ヶ月以内発行）（コピー可）をご用意いただき、送付票とあわせて、労務主管課を経由で総務事務センターへお送りください。

※通勤届は実際に引っ越ししてからの申請になります。 ",,新築購入・引渡し前・住民票異動・申請必要,,,,,,,,,
faq,jukyo,,,現在、持家に住んでいます。リフォームのため一時的にアパートを借りて転居しました。住民票は異動していませんが、この場合申請が必要になりますか。,,"住民票を異動していないので、住居届の申請は必要ありません。

※実際に転居をしているので、通勤届（転居/住民票の住所と実際の居住地が異なる）の申請は必要になります。",,リフォーム・一時転居・住民票異動なし・通勤届必要,,,,,,,,,
