"分類","Q","A","キーワード","信頼度"
"給与手当　児童手当　額改定・消滅","消滅手続き完了後、支給事由消滅通知書はいつ届きますか","申請完了後にセンターから支給事由消滅通知書を発行・発送いたします。庁内メール便の都合により到着日は確定できませんが、発送後おおむね年内にはお届けできる見込みです。お急ぎの場合はお早めにお問い合わせください。","消滅通知書・支給事由消滅通知書・発行・発送・庁内メール便","中"
"給与手当　児童手当　額改定・消滅","認定請求で申請したものを削除し、改定で再申請した際の送付票の取り扱いを教えてください","改定で再申請される際は、送付票に「申請番号○○の再申請である」旨を記入して提出してください。扶養手当等がすでに申請済みの場合、システムから扶養手当の申請を促すメッセージが出る場合がありますが、申請済みであれば対応不要です。","送付票・再申請・改定・認定請求・削除・メッセージ","高"
"給与手当　児童手当　額改定・消滅","市内で引っ越した場合、児童手当の消滅届や再申請は必要ですか","公務員（本市職員）が受給している場合、市内での転居による消滅届や再申請は不要です。詳細については所属窓口または担当書面にてご確認ください。","転居・引っ越し・消滅届・再申請・公務員・不要","中"
"給与手当　児童手当　額改定・消滅","すでに児童手当を受給している場合、第二子の申請は庶務事務システムのどこから行えばよいですか","すでに受給されている場合は、庶務事務システムの「児童手当額改定」から申請してください。","庶務事務システム・第二子・額改定・受給中・申請方法","高"
"給与手当　児童手当　額改定・消滅","すでに登録済みの児童手当について、氏名変更を理由に改定申請は必要ですか","すでに登録済みの場合、児童手当の改定申請は不要です。申請は削除してください。なお、お子さんの氏名変更に伴い扶養手当の変更が必要な場合は、庶務事務システムの扶養親族等異動届から届出事由「その他（扶養親族の氏名変更）」を選択し申請してください。共済については共済担当窓口へご確認ください。","氏名変更・登録済み・不要・扶養異動届・共済","高"
"給与手当　児童手当　額改定・消滅","第二子を認定請求で申請してしまった。育休中のため本人申請に切り替えたい","差し戻し後に本人に改定で再申請していただくことが可能です。まず本人に申請いただいてから、代行申請分の差戻し手配をします。最初の申請が事由日から15日以内であった場合は、正しい申請が認定されれば当初の翌月（事由日翌月）からの支給対象となります。","認定請求・誤申請・育休・差戻し・本人申請・15日・支給開始","高"
"給与手当　児童手当　額改定・消滅","完了した児童手当の認定通知書はいつ届きますか","申請完了日の後、センターから発送いたします。完了日が確認できれば発送予定日をお伝えできます。完了日が不明な場合は問い合わせいただければ確認いたします。","認定通知書・発送・完了日・児童手当","高"
"給与手当　児童手当　額改定・消滅","申請時に「システム上の問題が発生した」とエラーが出る。どうすればよいですか","お子さんの名前や住所に環境依存文字（特定の漢字やアルファベット等）が含まれている場合にエラーが発生することがあります。住所のアルファベットはキーボードで直接入力するか、カタカナに置き換えて入力してください。それでもエラーが解消しない場合はシステムの不具合の可能性がありますので、センターへご連絡ください。","エラー・環境依存文字・アルファベット・申請不可・システム不具合","高"
"給与手当　児童手当　額改定・消滅","別居後に児童手当の消滅手続きが漏れていた。今から手続きする方法と添付書類を教えてください","庶務事務システムの「給与手当＞児童手当＞額改定・消滅届」から「受給事由消滅」を選択して申請してください。添付書類は不要です。消滅届が完了すると支給事由消滅通知書が発行され、監護者となった方がその通知書をもって認定請求の申請を行うことができます。なお、誤って受給していた手当の戻入については担当窓口へご確認ください。","消滅届・別居・手続き漏れ・添付書類なし・消滅通知書・戻入","高"
"給与手当　児童手当　額改定・消滅","物価高応援手当の申請に必要な認定通知書がいつ届くか確認したい","センターから発送済みの場合はお待ちください。お住まいの市区町村への申請期限については、お住まいの市区町村へご確認ください。","認定通知書・物価高応援手当・発送・申請期限・市区町村","中"
"給与手当　児童手当　額改定・消滅","住民票の受領状況を確認したい。代行申請書の提出も必要ですか","住民票は受領済みの場合はその旨をお伝えします。代行申請の場合は代行申請書の提出も必要ですので、未提出の場合はご対応をお願いします。","住民票・受領確認・代行申請書・提出・増額改定","高"
"給与手当　児童手当　額改定・消滅","代行申請の消滅手続きで確認待ちが続いている。代行申請書は必須ですか","児童手当の代行申請においては代行申請書の提出が必要です。提出がない場合は確認作業を進めることができず、センター確認待ちのまま止まります。書類がお手元にある場合はご提出ください。","代行申請書・消滅・確認待ち・必須・提出","高"
"分類","Q","A","キーワード","信頼度"
"給与手当　児童手当　額改定・消滅","代行申請の消滅手続きで代行申請書の提出が必須か確認したい","児童手当の代行申請では代行申請書の提出が必要です。担当窓口から必須ではないと案内を受けていた場合でも、児童手当においては提出をお願いしております。書類がお手元にある場合はご提出ください。状況については確認のうえご連絡いたします。","代行申請書・消滅・必須・提出・確認","高"
"給与手当　児童手当　額改定・消滅","認定請求で申請してしまった。改定で再申請する場合の手順と書類を教えてください","認定請求を削除のうえ、改定請求で新たに申請してください。書類がすでに提出済みの場合は再提出不要です。改定申請時に出力される送付票の余白に、元の申請番号と再申請である旨を記載して提出してください。代行申請となる場合は増額改定請求書の提出も必要です。書式はご所属にご確認ください。","認定請求・改定請求・再申請・送付票・増額改定請求書・代行申請","高"
"給与手当　児童手当　額改定・消滅","代行で申請する際の書式（増額改定請求書等）の記載方法を教えてください","書式の記載方法についてはご所属へご確認ください。記載が完了した書類はセンターへ提出してください。","書式・記載方法・代行申請・増額改定請求書","中"
"給与手当　児童手当　額改定・消滅","完了した申請の認定通知書（改定通知書）はいつ、どのように届きますか","通知書の発行は月1回で、毎月の締め日から3営業日後に発行、さらに2営業日後にセンターから発送いたします。庁内メール便経由でご所属へ届きます。発送後の到着日については庁内メール便の都合上お答えできませんが、概ね締め日から1週間前後となります。","認定通知書・改定通知書・発行日・発送・締め日・庁内メール便","高"
"給与手当　児童手当　額改定・消滅","物価高応援手当や自治体の子育て給付金の申請に認定通知書が必要だが、締め切りに間に合いますか","通知書は毎月の締め日から3営業日後に発行・2営業日後に発送です。市区町村の申請締め切り日（例：5月末）までにセンターでの確認が完了していれば間に合う可能性があります。間に合わない場合はお住まいの市区町村へご相談ください。","認定通知書・物価高応援手当・給付金・締め切り・市区町村・発送","中"
"給与手当　児童手当　額改定・消滅","添付書類の住民票について、本籍地や個人番号の記載は必要ですか","住民票への本籍地の記載も個人番号の記載も不要です。","住民票・本籍地・個人番号・添付書類・不要","高"
"給与手当　児童手当　額改定・消滅","19歳と16歳の子がいる場合、額改定の通知が来たが何か申請が必要ですか","ご状況を伺った限りでは申請は不要です。ご不安な場合はご所属の庶務担当にも確認してください。","額改定通知・19歳・16歳・申請不要・大学生年代","中"
"給与手当　児童手当　額改定・消滅","異動により所属が変わった職員について、児童手当の申請は必要ですか","異動による所属変更のみでは、児童手当の新たな申請は不要です。","異動・所属変更・申請不要・児童手当","高"
"給与手当　児童手当　額改定・消滅","第三子算定のための多子加算申請で、大学生年代の増の場合はどのお子さんの情報を入力しますか","大学生年代の増の申請では、大学生年代の要件を満たすお子さんの情報を入力してください。増額改定となるお子さん（第三子等）の情報ではなく、大学生年代となったお子さんの情報の入力が必要です。","多子加算・大学生年代の増・第三子・算定・入力・額改定","高"
"給与手当　児童手当　額改定・消滅","額改定・消滅届の添付書類（送付票等）の送付先を教えてください","庶務担当経由で総務事務センター宛に送付してください。送付票の書き方については庶務担当にご相談ください。","送付先・庶務担当・総務事務センター・送付票","高"
"給与手当　児童手当　額改定・消滅","添付書類の提出が遅れた場合、支給額や適用月に影響はありますか","書類の提出が遅れても、支給額および適用月への影響はありません。ただし、認定完了が遅れるため支給開始月が遅くなる可能性があります。適用月まで遡って支給されます。","書類提出遅れ・支給額・適用月・支給開始月・遡及","高"
"給与手当　児童手当　額改定・消滅","申請進捗の状況を確認したい（確認中が続いている）","現在確認を進めております。ステータスが「送付中」の場合は数日中に完了見込みです。ステータスが「確認済み」の場合は引き続き確認中となります。不備がない場合は差戻しのご連絡はしておりませんのでしばらくお待ちください。","進捗確認・確認中・送付中・確認済み・完了","高"
"給与手当　児童手当　額改定・消滅","多子加算の申請で第一子はすでに登録済みの場合、今回申請が必要なのはどのお子さんですか","第一子が制度改正時にすでに登録済みの場合、今回は第二子（大学生年代となった方）の申請を行ってください。申請後、住民票を提出してください。","多子加算・第一子・登録済み・第二子・大学生年代・住民票","高"
"給与手当　児童手当　額改定・消滅","配偶者が無職（税法上の扶養）でも課税証明書の提出は必要ですか","配偶者が申請者の税法上の扶養に入っていることが確認できない場合は課税証明書の提出が必要です。扶養に入っていることが確認できれば提出は不要となりますが、確認できなかった場合は提出をお願いしています。","課税証明書・配偶者・無職・扶養・税法上","高"
"給与手当　児童手当　額改定・消滅","額改定通知書が届いているか分からない（庶務が受け取り紛失した可能性）","センターからは庁内メール便で所属宛に発送しております。今週中には届く見込みです。届いていない場合は庶務担当に確認してください。","額改定通知書・紛失・庁内メール便・到着","中"
"給与手当　児童手当　額改定・消滅","派遣から復職した職員が自治体で受給していた場合、どの申請が必要ですか","派遣から本市へ復職し、これまで自治体で受給していた場合は改定請求ではなく認定請求での申請が必要です。添付書類は課税証明書と消滅通知書が必要です。先に申請を行い、書類は揃い次第提出してください。","派遣・復職・自治体受給・認定請求・改定・消滅通知書・課税証明書","高"
"給与手当　児童手当　額改定・消滅","育休中で庶務事務システムを操作できない。申請状況の確認と給与反映時期を教えてください","申請状況についてはセンターへお問い合わせいただければ確認いたします。給与への反映時期については担当窓口へご確認ください。育休中で操作が難しい場合は代行権限をお持ちの庶務担当に対応を依頼するか、お電話でご連絡ください。","育休・庶務事務システム・操作不可・給与反映・代行権限・進捗確認","高"
