"分類","Q","A","キーワード","信頼度"
"その他","職員本人以外が扶養に関する問い合わせをしたい場合、どうすればよいか教えてください","扶養に関するお問い合わせは職員ご本人からのご連絡をお願いしております。配偶者の方からのお問い合わせには対応できかねますので、職員ご本人からご連絡ください。","扶養・配偶者・本人確認・問い合わせ・共済","高"
"その他","機構改革や異動後に給与手当等のアクセス権限がなくなった場合、どうすればよいか教えてください","機構改革や異動に伴うシステム上の権限不具合については、センターで確認のうえご連絡いたします。解消した際にはあらためてご連絡いたしますので、しばらくお待ちください。","機構改革・異動・アクセス権限・システム不具合・給与手当・申請できない","中"
"その他","会計年度任用職員が扶養の書類を提出したい場合、どこに提出すればよいか教えてください","会計年度任用職員の方は庶務事務システムの対象外となります。ご所属の庶務担当の方へご確認ください。","会計年度任用職員・扶養・書類提出・庶務事務システム対象外","高"
"その他","物価高対応受け取りのため児童手当受給の証明書を発行してもらいたい場合、どうすればよいか教えてください","証明書の発行については、センターでの対応ができかねます。担当窓口へご確認ください。","児童手当・受給証明・発行・物価高対応","中"
"その他","通勤届の内容について確認したい場合、教職員はどこに問い合わせればよいか教えてください","教職員の方の庶務事務に関するお問い合わせは、教職員庶務事務センターへご相談ください。","通勤届・教職員・問い合わせ先・庶務事務センター","高"
"福利厚生　被服貸与","退職した職員の被服情報を被服マスタ照会で確認したい場合、どうすればよいか教えてください","退職した職員の被服情報は被服マスタ照会に表示されません。担当窓口へご相談ください。","退職職員・被服マスタ照会・表示なし","中"
"福利厚生　被服貸与","新採用職員の被服申請でいらない品目を不要にしたい場合、どうすればよいか教えてください","不要な品目を表示させていただき、「不要」を選択することで対応いただけます。","新採用・被服申請・不要・品目選択","高"
"福利厚生　被服貸与","新採用職員で今回は被服を貸与なしにしたい場合、どうすればよいか教えてください","今回貸与なしにする操作については、ご案内いたします。なお、貸与品目の選択内容については、担当部署の被服担当の方へご確認ください。","新採用・貸与なし・被服・品目選択・操作方法","中"
"福利厚生　被服貸与","課長権限・代行権限を持っているのに申請受領確認等で職員の申請状況が確認できない場合、どうすればよいか教えてください","申請受領確認の「配送処理済み」で検索しても結果が出ない場合は、各職員の画面からご確認いただくか、担当窓口へお問い合わせください。","申請受領確認・被服マスタ照会・代行権限・課長権限・検索結果なし","中"
"福利厚生　被服貸与","被服の品目を間違えて登録して未申請状態になった場合、修正できるか教えてください","ステータスが未申請の状態では、ご自身での修正はできかねます。担当部署の被服担当の方に「再設定」をご依頼いただき、確認中の状態に戻していただく必要がございます。","被服・品目間違い・未申請・修正・再設定・被服担当","高"
"福利厚生　被服貸与","事務職員を非該当に設定したが問題ないか、また育休明け職員の扱いについて教えてください","育休等の職員については、復職時に非該当から該当に戻していただく必要がございます。それ以外の方の非該当設定については、担当部署の被服担当へご確認のうえ対応をお願いします。再設定が必要な場合は被服担当の方で対応いただけます。","非該当・育休・復職・事務職員・被服担当・再設定","高"
"福利厚生　被服貸与","専門職で前所属から被服を持ち込んでいるが今回貸与なしになっている場合、問題ないか教えてください","前所属でも同職種で被服をお持ちの場合、今回が貸与のサイクルではないため「今回貸与なし」と表示されることがございます。操作に問題はないかと思われますが、詳細については担当部署の被服担当の方へご確認ください。","専門職・被服持ち込み・今回貸与なし・貸与サイクル・保健師","中"
"福利厚生　被服貸与","異動後に品目変更となった職員が申請管理に表示されない場合、どうすればよいか教えてください","非該当になっている職員は申請管理に表示されません。担当部署の被服担当の方へお問い合わせいただき、該当に戻していただく必要がございます。","異動・品目変更・非該当・申請管理・表示されない・被服担当","高"
"福利厚生　被服貸与","全品目不要の職員がいる場合、品目を一つだけ不要にすればよいか教えてください","システム上は一品目を不要として申請済みにすることが可能です。ただし、一品目のみでよいか全品目登録すべきかについては、担当部署の被服担当の方へご確認ください。","貸与品・不要・全品目・一品目・申請済み・被服担当","中"
"福利厚生　被服貸与","育休明けの職員が申請管理に表示されない場合、どうすればよいか教えてください","非該当になっているため表示されない状態です。担当部署の被服担当の方に再度登録いただく必要がございます。","育休明け・被服・申請管理・表示されない・非該当・再登録","高"
"福利厚生　被服貸与","被服の確認から検索しても職員が誰も表示されない場合、どうすればよいか教えてください","権限範囲の設定が必要な場合がございます。「権限設定＞権限範囲設定」からご確認ください。","被服・確認・検索・職員表示されない・権限範囲設定","高"
"福利厚生　被服貸与","被服貸与の代行入力権限があるのに申請管理や代行入力画面に所属・職員が表示されない場合、どうすればよいか教えてください","代行入力の権限設定は、お名前の登録のあとに権限範囲の設定が必要です。権限範囲が設定されていない場合は表示されません。課長権限をお持ちの方へ権限範囲の設定を依頼してください。","被服貸与・代行入力・権限・申請管理・所属表示されない・権限範囲","高"
"福利厚生　被服貸与","被服の品目を代行申請後に誤りに気づいた場合、修正できるか教えてください","申請済みのステータスでも修正が可能です。被服メインメニューから対象の区分を選択し、代行申請（修正）に進んでいただき、申請対象者一覧から職員を選択、サイズ変更で新たな行に正しいコードのものを選択して再申請してください。","被服・品目間違い・代行申請・修正・申請済み・サイズ変更","高"
"福利厚生　被服貸与","事務職員で貸与品が不要な場合、不要として申請してよいか教えてください","該当・未申請の状態から申請済み・不要にした状態で問題ございません。","被服・事務職員・不要・申請済み・貸与なし","高"
"福利厚生　被服貸与","技能職員を非該当にする操作方法を教えてください","まず「被服貸与＞区分確認＞所属を確認して検索」をしていただき、次に「区分変更＞非該当を選択して登録ボタン押下」、その後再度職員を選択して「確定」を押下します。なお、確定後は該当に戻すことができませんのでご注意ください。確定前に担当部署からの指示を改めてご確認いただくことをお勧めします。","技能職員・非該当・操作方法・被服貸与・区分変更・確定","高"
"福利厚生　被服貸与","被服の申請管理で課長の職員が表示されなくなった場合、どうすればよいか教えてください","回答未記録","被服・申請管理・課長・表示されない","低"
"福利厚生　被服貸与","異動後に被服の代行申請をしたいが申請管理から進むと所属が表示されない場合、どうすればよいか教えてください","権限設定はお名前の追加のあとに権限範囲の設定が必要です。権限範囲が設定されていない場合は所属が表示されません。権限設定をした方へ権限範囲の設定も行っていただくようご確認をお願いします。","被服・代行申請・所属表示されない・権限範囲・異動","高"
"福利厚生　被服貸与","貸与品の品目を別のものに変えたいが変更できない場合、どうすればよいか教えてください","品目変更は上2桁が同じ品目の間でのみ可能です。異なる品目に変更することはできかねます。不要な場合は「不要」を選択してください。品目の変更については担当部署の被服担当の方へご相談ください。なお、センターでは品目の登録変更は行っておりません。","被服・品目変更・上2桁・不要・センター対応不可","高"
"福利厚生　被服貸与","被服マスタ照会でCSV出力するとエラーが発生する場合、どうすればよいか教えてください","被服マスタ照会のCSV出力については、現在システムプログラム上の問題により正常に出力できない状況です。すぐに修正される見通しはございません。データが必要な場合は担当窓口へご相談ください。","被服マスタ照会・CSV出力・エラー・システム不具合","高"
"福利厚生　被服貸与","被服が届いていないのに誤って受領ボタンを押した場合、取り消せるか教えてください","ステータスが「配送処理済」の場合は修正可能です。「代行受領＞受領状況：未受領」を選択して修正してください。ただしステータスが「完了」となっている場合は修正できかねます。その場合は担当部署へご相談ください。","受領ボタン・誤操作・取り消し・配送処理済・完了・代行受領","高"
"福利厚生　被服貸与","理事職の職員が被服の区分確認で検索しても表示されない場合、どうすればよいか教えてください","回答未記録","理事職・被服・区分確認・検索・表示されない","低"
"福利厚生　被服貸与","調理服の品目を別のものに変更して申請したいができない場合、どうすればよいか教えてください","回答未記録","調理服・耳付き調理帽・品目変更・申請・保育園","低"
"分類","Q","A","キーワード","信頼度"
"給与手当　権限設定","給与手当を開こうとするとアクセス権限がないと表示される場合、どうすればよいか教えてください","現在、複数の所属から同様のお問い合わせをいただいており、調査中でございます。担当部署からの指示があるまで、しばらくお待ちください。","給与手当・アクセス権限・権限なし・閲覧できない・権限設定","中"
"給与手当　権限設定","派遣職員について庶務事務システムで代行申請するための組織設定をしたいが、権限設定範囲に一部の職員が表示されない場合、どうすればよいか教えてください","組織設定の操作をご案内しましても、権限設定範囲に表示されず紐づけできない場合は、担当の庶務事務担当へご相談をお願いいたします。","派遣職員・組織設定・紐づけ・権限設定範囲・表示されない・代行申請","中"
"給与手当　権限設定","異動後に通勤届や現況届などの案件照会で他の職員分が確認できなくなった場合、どうすればよいか教えてください","案件照会で他の職員分を確認するには、給与手当の代行入力権限が必要です。課長の方から権限設定を行っていただき、権限範囲まで設定する必要がございます。なお、以前に異動した職員が引き続き閲覧できている場合は、権限が残っている可能性がありますので、その際は権限を削除していただくようご対応をお願いいたします。","案件照会・通勤届・現況届・権限なし・異動・給与手当・代行入力権限","高"
"給与手当　権限設定","異動後に給与手当の権限が付与されていないので、通勤届・現況届の確認や年末調整の権限も設定したい場合、どうすればよいか教えてください","まず課長の庶務事務から操作をお願いいたします。給与手当の権限は「給与手当＞権限設定＞代行入力の権限」から権限範囲まで設定が必要です。年末調整の権限は「年末調整＞権限設定＞年調担当の権限」から同様に権限範囲まで設定が必要です。権限を付与していただいても画面のボタンは増えませんが、「給与手当＞案件照会」で他の職員分を検索できれば権限が正しく設定されています。","異動・給与権限・年末調整権限・代行入力・年調担当・ボタンが増えない・案件照会","高"
"給与手当　権限設定","特定の職員の代行入力をしたい場合の手順を教えてください","まず組織設定を行っていただき、その後代行入力の権限設定を行っていただきます。操作は課長の端末から行っていただく形となります。操作ガイドもご案内できますのでご活用ください。","代行入力・組織設定・権限設定・操作手順・課長端末","高"
"給与手当　権限設定","児童手当を代行で確認しようとすると「状況確認」しか表示されない場合、どうすればよいか教えてください","「状況確認」のみ表示されている場合は、給与手当の代行権限が付与されていない状態です。課長の方から給与手当の代行権限を設定していただくようご依頼ください。","児童手当・代行・状況確認・代行権限・ボタンがない・給与手当","高"
"給与手当　権限設定","休暇・超勤の代行権限は持っているが、児童手当の現況届の代行には別の権限が必要か教えてください","はい、児童手当の現況届の代行には別の権限が必要です。休暇・超勤の代行権限とは別に、給与手当の代行入力権限が必要となりますので、課長の方から権限を付与していただくようご依頼ください。","児童手当・現況届・代行権限・休暇・超勤・給与手当・別権限","高"
"給与手当　権限設定","課内の職員の現況届の申請状況を確認したい場合、どこから確認できるか教えてください","現況届の申請状況は「状況確認・代行」のボタンから確認いただけます。このボタンが表示されていない場合は、課長の方から給与手当の権限設定にて代行入力権限を設定していただく必要がございます。","現況届・申請状況・状況確認・代行ボタン・権限設定・代行入力","高"
"給与手当　権限設定","産育休中の職員の住居届等を代行申請したいが、代行申請ができない場合、どうすればよいか教えてください","住居届等の代行申請には、給与手当の代行入力権限が必要です。課長代行の権限をお持ちの方へ権限設定をご依頼ください。設定はお名前の登録と権限範囲の登録の2段階となっております。","産育休・住居届・代行申請・代行入力権限・課長代行・2段階登録","高"
"給与手当　権限設定","年調担当の権限は設定されているのに、状況確認・代行のボタンが表示されない場合、どうすればよいか教えてください","年末調整の操作期間が開始されていない場合、ボタンは表示されません。操作開始日以降になりますと表示されますので、開始日をご確認のうえ、再度ご操作ください。","年調担当・状況確認・代行ボタン・表示されない・操作期間・開始日","高"
"給与手当　権限設定","住居手当・通勤手当の代行はできないが、旅費や年末調整は代行できる場合、どうすれば給与手当の代行もできるか教えてください","住居手当・通勤手当の代行には、給与手当から入る代行権限の付与が必要です。課長の方へ付与をご依頼ください。また、課長代行の権限を取得されますと、権限設定ボタンが付与され、ご自身でご自身に代行権限を設定したり、部下の方へ権限を付与することもできるようになります。","住居手当・通勤手当・代行権限・給与手当・課長代行・権限設定ボタン","高"
"給与手当　権限設定","子供が生まれた職員の育休申請を代行しようとすると、ラジオボタンが選択できない場合、どうすればよいか教えてください","給与手当に関する代行権限をお持ちでない場合、ラジオボタンが選択できない状態になります。課長の方から給与手当の代行権限を付与していただくようご依頼ください。操作は課長向けの操作ガイドをご参照ください。また、出生申請に関連して個人番号の取り扱いが必要な場合は、個人番号に関する権限をお持ちの方へご相談ください。児童手当は個人番号が不要ですので、給与手当の代行権限があれば所属の方で対応いただけます。","育休・代行申請・ラジオボタン・選択できない・給与手当・代行権限・出生・児童手当・個人番号","高"
"給与手当　権限設定","育休職員の代行申請でライフイベントから入ると代行申請できない場合、どうすればよいか教えてください","代行申請は給与手当のメニューから入っていただく必要がございます。ライフイベントから入ると代行申請が行えない場合があります。また、代行権限が付与されていない場合は「上記以外」の項目がグレーアウトしております。課長の方は初期状態では代行権限がございませんので、ご自身に代行権限を付与していただいてから操作をお願いいたします。権限付与の方法はご案内いたします。","育休・代行申請・ライフイベント・給与手当・上記以外・グレー・課長・代行権限","高"
"給与手当　権限設定","派遣職員について給与手当の代行をしようとすると、組織には登録されているのに職員が表示されない場合、どうすればよいか教えてください","組織設定と権限付与が完了していれば、対象の派遣職員名が表示されます。組織名は表示されているが職員名が出ない場合は、システム側での確認が必要となる場合がございます。確認の上ご連絡いたします。","派遣職員・広域連合・代行・組織設定・職員が表示されない・権限付与","中"
"給与手当　権限設定","課長代行と代行入力の違いについて教えてください","課長代行は課長の権限そのものを付与する権限です。課長代行を付与された方は、他の職員へ代行権限等を設定できるようになります。代行入力は特定の職員の申請を代行する権限です。通常の代行業務には代行入力の設定で対応いただけます。なお、代行権限は課長が付与した後、付与された方が異動するまで継続して有効となります。課長が交代しても代行権限はそのまま残り、職員に紐づく形となります。","課長代行・代行入力・権限の違い・代行権限・権限設定・初期設定","高"
"給与手当　権限設定","兼務先の職員について代行や画面確認ができるようにしたい場合、どうすればよいか教えてください","兼務先の職員を代行するには、組織設定で兼務先の組織を紐づけることで対応が可能です。ただし、組織単位での設定となりますので、その組織の代行権限をお持ちの方は兼務先の職員も操作できる状態になります。課長のみへの権限付与はできませんので、設定する前に所属の担当者にご相談のうえ組織設定を行ってください。","兼務・組織設定・代行・紐づけ・課長・権限付与・会計室","高"
"給与手当　権限設定","副校長が給与手当や年末調整にアクセスしようとすると権限がないと表示される場合、どうすればよいか教えてください","副校長の方は出退勤等については庶務事務の対象として権限をお持ちですが、給与手当や年末調整については庶務事務の対象外となるため、アクセスできない状況です。所属の中でのとりまとめを可能にするためには、担当部署へご相談いただく必要がございます。","副校長・アクセス権限・給与手当・年末調整・庶務事務対象外・権限なし","高"
"給与手当　権限設定","課長になったばかりで全ての権限設定を知りたい場合、どうすればよいか教えてください","課長の方が必要な権限の種類と付与方法についてご説明いたします。また、一緒に操作しながら権限を付与することも可能ですので、ご不明な点はお気軽にご連絡ください。","課長・権限設定・全権限・新任・付与方法・操作案内","中"
"その他","庶務事務のライフイベント等が開けない場合、どうすればよいか教えてください","システム不具合が発生している場合は、本日中の復旧が難しいことがございます。復旧され次第ご操作いただくようお願いいたします。なお、復旧状況は担当部署からの周知をご確認ください。","ライフイベント・システム不具合・開けない・庶務事務・復旧","中"
"その他","会計年度任用職員が庶務事務システムを利用できなくなった場合、どうすればよいか教えてください","会計年度任用職員の庶務事務システムの利用については、担当の庶務事務担当へご相談ください。","会計年度任用職員・庶務事務システム・利用できない・アクセス","中"
"その他","扶養親族等の異動届について住民票を提出したが未申請と言われた場合、どうすればよいか教えてください","回答未記録","扶養親族・異動届・住民票・未申請","低"
"その他","扶養手当等の増申請をしたが、年金第三号の手続きができていないと通知が届いた場合、どうすればよいか教えてください","扶養手当や共済については庶務事務センターで対応しておりますが、年金第三号の手続きは担当窓口での対応となります。センターでご確認できる申請内容を確認のうえ、担当窓口へお問い合わせいただくようご案内いたします。","扶養手当・増申請・年金第三号・共済・通知・手続き","中"
"その他","育休の影響で基本給が少ない場合、どうすればよいか教えてください","給与の支給金額の内訳については、センターではお答えできかねます。担当部署へご相談ください。","育休・基本給・給与・支給金額・少ない","中"
"その他","現況届はマイナンバーが不要で所属で代行できるか教えてください","現況届は個人番号（マイナンバー）を取り扱わないため、所属の給与手当の代行権限をお持ちの方から代行申請いただけます。なお、扶養親族等異動届のうち共済と税控除の申請については個人番号の入力が必要なため、担当窓口での対応となります。児童手当も個人番号が不要ですので、所属の方で対応いただけます。","現況届・マイナンバー・個人番号・代行申請・給与手当・扶養親族・児童手当","高"
"その他","代行申請した職員に戻入が発生した場合、いつの給与から控除されるか教えてください","いつの給与から控除されるかについては、センターではお答えできかねます。担当部署へご相談ください。","戻入・給与控除・代行申請・控除時期","中"
"その他","住居届を実質家賃で申請する場合、書類が揃う前でも15日以内に申請が必要か教えてください","住居届・通勤届・児童手当・扶養手当は事由日から15日以内に庶務事務システムで申請をお願いいたします。共済は30日以内となります。書類の提出は申請後でも構いません。実質家賃の申請の場合は、事由日から15日以内にシステムで申請いただき、住民票等のみ先に提出していただいたうえで、残りの書類が揃い次第ご提出ください。","住居届・実質家賃・15日以内・書類・申請期限・通勤届・事由日","高"
"その他","医療費控除の申請をしたが市県民税が変更されていない場合、どうすればよいか教えてください","市県民税の変更については、センターではお答えできかねます。担当部署へご相談ください。","医療費控除・市県民税・返金・税額変更","中"
"その他","年金第三号の手続きがされていないと通知が届いた場合、どうすればよいか教えてください","年金第三号の手続きは、担当窓口へお問い合わせをお願いいたします。","年金第三号・通知・扶養・手続き","中"
"その他","共済と税控除の代行申請で対象職員が表示されない場合、どうすればよいか教えてください","組織が独立した形になっている場合は、該当職員の代行を行っていただけます。対象職員が表示されない場合は、組織設定の紐づけが必要な場合がございますので、担当庶務事務担当へご相談ください。","共済・税控除・代行申請・職員が表示されない・組織設定・紐づけ","中"
"その他","年金機構から国民年金加入手続きの依頼が届いた場合、どうすればよいか教えてください","国民年金の加入手続きについては、担当窓口へご相談ください。","年金機構・国民年金・加入手続き・依頼・扶養","中"
"その他","育児休業中の職員への通知書が届いていない場合、どうすればよいか教えてください","センターで確認いたしますが、担当部署でも確認いただくようお願いいたします。","育児休業・通知書・届かない・発行","低"
"その他","源泉徴収票の原本を入手したい場合、どうすればよいか教えてください","2024年3月26日受付分をもちまして、庶務事務システムでの再発行申請は終了しております。3月27日以降は、WEB給与明細システムから各自で出力していただく形となっております。原本の入手が必要な場合は、担当部署へご確認ください。","源泉徴収票・原本・再発行・WEB給与明細・出力","中"
"その他","妻が扶養に入っているが、国民年金第三号の対象になっているか確認したい場合、どうすればよいか教えてください","扶養手当・共済・税控除の申請状況についてはセンターで確認いたします。年金第三号については、センターの対象外となりますので、担当窓口へお問い合わせください。","扶養・国民年金第三号・確認・共済・税控除","中"
"その他","育児休業手続き中で児童手当認定申請や扶養申請が完了したか確認したい場合、どうすればよいか教えてください","回答未記録","育児休業・児童手当認定申請・扶養申請・確認・手続き","低"
"その他","年金特別催告書が届いた場合、どうすればよいか教えてください","年金の特別催告書への対応については、担当窓口へお問い合わせをお願いいたします。","年金・特別催告書・扶養・年金手続き","中"
"その他","携帯を変えてメールアドレスが変わり、WEB給与明細にログインできない場合、どうすればよいか教えてください","WEB給与明細システムへのログインに関しては、担当窓口へお問い合わせをお願いいたします。","WEB給与明細・メールアドレス・変更・ログインできない・携帯変更","中"
"その他","別科の職員の年金第三号加入の手続き状況を確認したい場合、どうすればよいか教えてください","扶養手当・共済の申請状況はセンターで確認いたします。年金第三号については担当窓口での対応となりますので、担当窓口へお問い合わせください。","年金第三号・扶養手当・共済・申請確認","中"
"その他","別の職場で年末調整を担当させてもらえるようにするにはどうすればよいか教えてください","担当部署へご相談いただく必要がございます。担当部署へお問い合わせください。","年末調整・担当・別職場・権限・相談窓口","中"
"その他","年金機構の加入通知が届いているが、扶養手当等の申請内容と相違がないか確認したい場合、どうすればよいか教えてください","庶務事務センターで申請状況を確認いたします。年金の手続きについては担当窓口での対応となりますので、確認の上、担当窓口へお問い合わせください。","年金機構・通知・扶養手当・共済・申請確認","中"
"分類","Q","A","キーワード","信頼度"
"福利厚生　被服貸与","被服申請で不要になっている品目を今回は対象にしたい場合、どうすればよいか教えてください","サイズがある品目の場合は、サイズの欄で「不要」を選択し、正しいサイズをご選択ください。サイズがない品目の場合は、「不要」の表示を「－」に変更してください。","被服申請・不要・対象・サイズ変更・調理帽・品目変更","高"
"福利厚生　被服貸与","被服の申請画面に希望する品目しか表示されない場合、どうすればよいか教えてください","表示されている品目が今回の貸与サイクルの対象です。今回貸与サイクルでない品目については申請できません。貸与サイクルや品目の詳細については、担当部署の被服担当の方へご相談ください。","申請画面・品目表示・貸与サイクル・上着・帽子・被服担当","高"
"福利厚生　被服貸与","被服申請でエラーが表示されてプルダウンに「変更」が選択できない場合、どうすればよいか教えてください","プルダウンに「変更」が表示されないシステムエラーが発生している場合があります。センターで確認のうえ対応いたします。解消後に改めてご操作ください。","被服申請・エラー・変更・プルダウン・システムエラー","高"
"福利厚生　被服貸与","被服の品目を同じカテゴリ内の別のコードに変更して申請したい場合、どうすればよいか教えてください","品目コードの上2桁が同じであれば変更が可能です。サイズの欄で「変更」を選択し、下に表示される空欄に変更後の品目を選択してご申請ください。上2桁が異なる品目への変更はできかねます。","品目変更・上2桁・コード・サイズ変更・難燃性作業服・変更申請","高"
"福利厚生　被服貸与","申請済みの品目の中でコードを間違えた行が消えてしまった場合、どうすればよいか教えてください","変更後の欄に空欄ができている場合は、その空欄から正しい品目コードを選択してください。","被服申請・コード間違い・行が消える・品目選択・変更後","高"
"福利厚生　被服貸与","安全靴を申請しているが別の種類に変更したい場合、どうすればよいか教えてください","サイズの欄で「変更」を選択し、下の行に変更したい品目を入力してご申請ください。","安全靴・被服・変更・コード906・編み上げ靴・短靴","高"
"福利厚生　被服貸与","被服の申請管理で対象者を確認しても誰も表示されない場合、どうすればよいか教えてください","全員が非該当になっている場合は申請管理に表示されません。被服マスタから検索してCSV出力すると貸与年月日からサイクルを確認できます。非該当になっている場合は、担当部署の被服担当の方へご相談ください。","申請管理・対象者・表示なし・非該当・被服マスタ・貸与サイクル","高"
"福利厚生　被服貸与","被服申請でサイズの選択肢に削除・変更・不要しか表示されない場合、どうすればよいか教えてください","新たに貸与として追加された品目の取り込みが完了していない場合、サイズが選択できないことがあります。センターで確認のうえご案内いたします。サイズ表示後は「変更」を選択し、下に表示される空欄から正しい品目を選択してご申請ください。","サイズ選択・削除・変更・不要・表示されない・料理服・被服追加","中"
"福利厚生　被服貸与","耳付き調理帽で「変更」を選択すると「同じ被服は申請できません」とエラーが表示される場合、どうすればよいか教えてください","耳付き調理帽はサイズがない品目のため、「変更」ではなく「－」を選択してください。他の品目（料理服ズボン等）は変更後の欄に正しい品目コードを選択してご申請ください。","耳付き調理帽・同じ被服・エラー・変更・サイズなし・料理服","高"
"福利厚生　被服貸与","他市派遣職員の代行申請をしたいが職員が表示されない場合、どうすればよいか教えてください","他市派遣の職員は組織設定で派遣先の組織に紐づけることで代行ができるようになります。組織設定から紐づけ操作を行ってください。","派遣職員・他市派遣・代行申請・表示されない・組織設定・紐づけ","高"
"福利厚生　被服貸与","被服が届いたが申請した個数と異なる場合、どうすればよいか教えてください","春に申請した冬物と秋に申請した夏物・通年では届くタイミングが異なります。個数の相違については、担当部署の被服担当へご相談ください。","被服・届いた・個数違い・冬物・夏物・通年・被服担当","中"
"福利厚生　被服貸与","即時貸与の申請管理画面に対象者が表示されない場合、どうすればよいか教えてください","即時貸与の申請開始日前は申請管理画面に表示されません。申請開始日以降に改めてご操作ください。申請開始日についてはセンターへご確認ください。","即時貸与・申請管理・表示されない・申請開始日・新採用","高"
"福利厚生　被服貸与","被服の区分登録で所属欄が空欄になっている場合、どうすればよいか教えてください","代行権限の設定はできていても権限範囲の設定が完了していない場合、所属が表示されません。課長の方から権限設定ボタンを使い、権限範囲の設定まで行っていただくようお伝えください。","被服・区分登録・所属空欄・権限範囲・代行権限","高"
"福利厚生　被服貸与","異動者がマスタに表示されているのに申請管理画面に出てこない場合、またCSV出力でエラーが発生する場合、どうすればよいか教えてください","申請管理に表示されるのは、今回の貸与対象として登録された方のみです。所属異動等に伴う申請はまた別途受付となりますので、異動者は登録されていない場合があります。またCSV出力は貸与被服が11品目を超える方が含まれるとエラーとなります。その場合は担当部署へご相談ください。","異動・申請管理・表示されない・CSV出力・エラー・11品目・被服マスタ","高"
"福利厚生　被服貸与","被服の組織設定ボタンが見当たらない場合、またこれまで持っていた代行権限が急に使えなくなった場合、どうすればよいか教えてください","組織設定ボタンは課長権限をお持ちの方のみ表示されます。また、機構改革等の影響により権限範囲の設定が外れることがあります。その場合は課長の方から権限範囲の再設定をお願いします。操作方法についてはご案内いたします。","組織設定ボタン・課長権限・代行権限・使えない・機構改革・権限範囲・再設定","高"
